Grid 0 - no_decay: mean_last100=-58.99, std=62.17, mean_length=26.9, time=0.1s

Grid 0 - with_decay: mean_last100=-72.40, std=30.70, mean_length=21.3, time=0.1s

Grid 1 - no_decay: mean_last100=-113.39, std=9.37, mean_length=15.9, time=0.0s

Grid 1 - with_decay: mean_last100=-114.47, std=11.94, mean_length=16.9, time=0.0s

Grid 2 - no_decay: mean_last100=-115.64, std=24.73, mean_length=20.7, time=0.1s

Grid 2 - with_decay: mean_last100=-116.64, std=15.83, mean_length=20.4, time=0.1s

Grid 3 - no_decay: mean_last100=-105.51, std=4.01, mean_length=6.5, time=0.0s

Grid 3 - with_decay: mean_last100=-106.87, std=6.33, mean_length=7.9, time=0.0s

Grid 4 - no_decay: mean_last100=-94.80, std=10.13, mean_length=6.1, time=0.0s

Grid 4 - with_decay: mean_last100=-96.11, std=10.08, mean_length=6.8, time=0.0s

Grid 0 - no_decay: mean_last100=-55.13, std=52.11, mean_length=22.9, time=0.2s

Grid 0 - with_decay: mean_last100=-60.48, std=56.98, mean_length=25.1, time=0.2s

Grid 1 - no_decay: mean_last100=-114.83, std=13.40, mean_length=17.5, time=0.1s

Grid 1 - with_decay: mean_last100=-114.49, std=10.63, mean_length=17.0, time=0.1s

Grid 2 - no_decay: mean_last100=-119.53, std=14.77, mean_length=22.0, time=0.1s

Grid 2 - with_decay: mean_last100=-117.26, std=12.44, mean_length=20.1, time=0.2s

Grid 3 - no_decay: mean_last100=-106.08, std=4.89, mean_length=7.1, time=0.0s

Grid 3 - with_decay: mean_last100=-106.26, std=5.12, mean_length=7.3, time=0.1s

Grid 4 - no_decay: mean_last100=-94.64, std=10.06, mean_length=7.0, time=0.0s

Grid 4 - with_decay: mean_last100=-94.22, std=10.59, mean_length=6.8, time=0.0s

Grid 0 - no_decay: mean_last100=-70.94, std=37.22, mean_length=25.6, time=0.1s

Grid 0 - with_decay: mean_last100=-67.72, std=43.52, mean_length=25.2, time=0.1s

Grid 1 - no_decay: mean_last100=-112.75, std=9.27, mean_length=14.6, time=0.1s

Grid 1 - with_decay: mean_last100=-115.34, std=14.49, mean_length=18.2, time=0.1s

Grid 2 - no_decay: mean_last100=-115.73, std=11.27, mean_length=19.7, time=0.1s

Grid 2 - with_decay: mean_last100=-116.79, std=12.91, mean_length=19.1, time=0.1s

Grid 3 - no_decay: mean_last100=-105.49, std=4.14, mean_length=6.7, time=0.1s

Grid 3 - with_decay: mean_last100=-106.61, std=4.76, mean_length=7.6, time=0.1s

Grid 4 - no_decay: mean_last100=-95.46, std=9.73, mean_length=7.0, time=0.0s

Grid 4 - with_decay: mean_last100=-94.13, std=9.88, mean_length=6.7, time=0.0s

Grid 0 - no_decay: mean_last100=-50.80, std=70.67, mean_length=27.4, time=0.2s

Grid 0 - with_decay: mean_last100=-54.85, std=60.29, mean_length=26.0, time=0.2s

Grid 1 - no_decay: mean_last100=-113.71, std=13.28, mean_length=17.2, time=0.1s

Grid 1 - with_decay: mean_last100=-114.00, std=13.34, mean_length=19.5, time=0.1s

Grid 2 - no_decay: mean_last100=-117.58, std=12.10, mean_length=20.5, time=0.1s

Grid 2 - with_decay: mean_last100=-118.60, std=14.05, mean_length=20.9, time=0.1s

Grid 3 - no_decay: mean_last100=-105.99, std=4.05, mean_length=7.2, time=0.1s

Grid 3 - with_decay: mean_last100=-105.75, std=4.63, mean_length=6.8, time=0.0s

Grid 4 - no_decay: mean_last100=-94.62, std=8.79, mean_length=6.5, time=0.1s

Grid 4 - with_decay: mean_last100=-96.53, std=9.29, mean_length=6.8, time=0.0s

Grid 0 - no_decay: mean_last100=-59.94, std=57.22, mean_length=24.9, time=0.1s

Grid 0 - with_decay: mean_last100=-60.58, std=56.41, mean_length=26.4, time=0.2s

Grid 1 - no_decay: mean_last100=-110.50, std=22.26, mean_length=15.4, time=0.1s

Grid 1 - with_decay: mean_last100=-113.94, std=22.09, mean_length=17.4, time=0.1s

Grid 2 - no_decay: mean_last100=-115.02, std=23.55, mean_length=20.1, time=0.1s

Grid 2 - with_decay: mean_last100=-119.61, std=15.05, mean_length=22.1, time=0.1s

Grid 3 - no_decay: mean_last100=-106.64, std=5.64, mean_length=7.6, time=0.0s

Grid 3 - with_decay: mean_last100=-105.90, std=4.47, mean_length=6.9, time=0.0s

Grid 4 - no_decay: mean_last100=-95.71, std=9.04, mean_length=7.0, time=0.0s

Grid 4 - with_decay: mean_last100=-95.55, std=10.28, mean_length=7.0, time=0.1s

Grid 0 - no_decay: mean_last100=-57.92, std=60.09, mean_length=23.9, time=0.1s

Grid 0 - with_decay: mean_last100=-53.08, std=59.59, mean_length=26.1, time=0.2s

Grid 1 - no_decay: mean_last100=-114.11, std=10.32, mean_length=15.5, time=0.2s

Grid 1 - with_decay: mean_last100=-114.92, std=12.23, mean_length=17.4, time=0.1s

Grid 2 - no_decay: mean_last100=-118.10, std=13.25, mean_length=20.4, time=0.1s

Grid 2 - with_decay: mean_last100=-118.85, std=12.99, mean_length=20.7, time=0.1s

Grid 3 - no_decay: mean_last100=-106.45, std=5.02, mean_length=7.5, time=0.0s

